Id,Predicted
0,neutral
1,surprise
2,anger
3,neutral
4,anger
5,sadness
6,neutral
7,neutral
8,neutral
9,neutral
10,surprise
11,neutral
12,joy
13,neutral
14,joy
15,surprise
16,sadness
17,surprise
18,neutral
19,neutral
20,neutral
21,neutral
22,surprise
23,non-neutral
24,joy
25,anger
26,anger
27,non-neutral
28,anger
29,surprise
30,non-neutral
31,neutral
32,sadness
33,neutral
34,neutral
35,non-neutral
36,neutral
37,neutral
38,surprise
39,neutral
40,neutral
41,joy
42,surprise
43,neutral
44,neutral
45,neutral
46,sadness
47,non-neutral
48,neutral
49,neutral
50,neutral
51,neutral
52,neutral
53,neutral
54,neutral
55,neutral
56,surprise
57,joy
58,sadness
59,neutral
60,sadness
61,neutral
62,anger
63,neutral
64,neutral
65,sadness
66,sadness
67,surprise
68,anger
69,surprise
70,non-neutral
71,neutral
72,neutral
73,neutral
74,neutral
75,anger
76,non-neutral
77,anger
78,joy
79,anger
80,sadness
81,surprise
82,neutral
83,joy
84,surprise
85,neutral
86,neutral
87,neutral
88,neutral
89,neutral
90,neutral
91,neutral
92,neutral
93,neutral
94,anger
95,sadness
96,neutral
97,neutral
98,neutral
99,neutral
100,neutral
101,neutral
102,neutral
103,non-neutral
104,joy
105,neutral
106,neutral
107,joy
108,neutral
109,non-neutral
110,neutral
111,neutral
112,neutral
113,neutral
114,neutral
115,neutral
116,surprise
117,neutral
118,neutral
119,joy
120,anger
121,neutral
122,surprise
123,neutral
124,joy
125,surprise
126,non-neutral
127,joy
128,neutral
129,joy
130,neutral
131,neutral
132,neutral
133,neutral
134,surprise
135,neutral
136,anger
137,neutral
138,neutral
139,neutral
140,neutral
141,neutral
142,joy
143,neutral
144,surprise
145,neutral
146,neutral
147,neutral
148,surprise
149,surprise
150,neutral
151,neutral
152,neutral
153,neutral
154,neutral
155,neutral
156,neutral
157,neutral
158,neutral
159,neutral
160,neutral
161,neutral
162,surprise
163,joy
164,surprise
165,anger
166,non-neutral
167,neutral
168,neutral
169,non-neutral
170,surprise
171,neutral
172,neutral
173,neutral
174,non-neutral
175,neutral
176,neutral
177,neutral
178,neutral
179,neutral
180,neutral
181,neutral
182,neutral
183,neutral
184,neutral
185,neutral
186,neutral
187,neutral
188,neutral
189,neutral
190,neutral
191,neutral
192,neutral
193,neutral
194,neutral
195,neutral
196,joy
197,neutral
198,neutral
199,surprise
200,surprise
201,surprise
202,surprise
203,neutral
204,neutral
205,non-neutral
206,neutral
207,neutral
208,neutral
209,neutral
210,surprise
211,joy
212,non-neutral
213,neutral
214,neutral
215,neutral
216,neutral
217,neutral
218,neutral
219,non-neutral
220,joy
221,neutral
222,neutral
223,neutral
224,neutral
225,neutral
226,sadness
227,neutral
228,surprise
229,neutral
230,neutral
231,neutral
232,neutral
233,surprise
234,neutral
235,surprise
236,neutral
237,anger
238,surprise
239,neutral
240,neutral
241,anger
242,joy
243,neutral
244,non-neutral
245,neutral
246,sadness
247,neutral
248,sadness
249,joy
250,joy
251,joy
252,joy
253,neutral
254,surprise
255,anger
256,neutral
257,neutral
258,neutral
259,non-neutral
260,neutral
261,neutral
262,neutral
263,neutral
264,neutral
265,surprise
266,non-neutral
267,surprise
268,neutral
269,non-neutral
270,neutral
271,neutral
272,anger
273,neutral
274,joy
275,neutral
276,non-neutral
277,neutral
278,neutral
279,neutral
280,neutral
281,neutral
282,joy
283,neutral
284,neutral
285,neutral
286,joy
287,neutral
288,joy
289,joy
290,joy
291,neutral
292,neutral
293,neutral
294,neutral
295,neutral
296,non-neutral
297,neutral
298,neutral
299,neutral
300,neutral
301,neutral
302,neutral
303,neutral
304,neutral
305,surprise
306,neutral
307,sadness
308,joy
309,neutral
310,neutral
311,joy
312,neutral
313,neutral
314,neutral
315,neutral
316,non-neutral
317,neutral
318,surprise
319,neutral
320,neutral
321,surprise
322,non-neutral
323,neutral
324,neutral
325,joy
326,anger
327,neutral
328,neutral
329,neutral
330,neutral
331,neutral
332,non-neutral
333,non-neutral
334,neutral
335,non-neutral
336,neutral
337,neutral
338,neutral
339,neutral
340,non-neutral
341,non-neutral
342,neutral
343,neutral
344,joy
345,joy
346,joy
347,neutral
348,neutral
349,surprise
350,surprise
351,non-neutral
352,neutral
353,surprise
354,neutral
355,neutral
356,neutral
357,surprise
358,non-neutral
359,neutral
360,neutral
361,surprise
362,neutral
363,surprise
364,neutral
365,neutral
366,surprise
367,neutral
368,neutral
369,neutral
370,neutral
371,sadness
372,joy
373,neutral
374,neutral
375,neutral
376,neutral
377,neutral
378,surprise
379,surprise
380,surprise
381,neutral
382,neutral
383,joy
384,neutral
385,neutral
386,surprise
387,neutral
388,neutral
389,neutral
390,neutral
391,non-neutral
392,non-neutral
393,sadness
394,sadness
395,surprise
396,neutral
397,neutral
398,anger
399,non-neutral
400,non-neutral
401,joy
402,disgust
403,anger
404,joy
405,neutral
406,non-neutral
407,non-neutral
408,non-neutral
409,anger
410,anger
411,surprise
412,neutral
413,joy
414,neutral
415,neutral
416,neutral
417,sadness
418,neutral
419,neutral
420,neutral
421,neutral
422,neutral
423,surprise
424,neutral
425,neutral
426,joy
427,neutral
428,non-neutral
429,neutral
430,neutral
431,neutral
432,neutral
433,neutral
434,neutral
435,neutral
436,neutral
437,neutral
438,neutral
439,neutral
440,neutral
441,neutral
442,neutral
443,neutral
444,non-neutral
445,joy
446,non-neutral
447,neutral
448,neutral
449,joy
450,neutral
451,neutral
452,neutral
453,neutral
454,neutral
455,neutral
456,neutral
457,neutral
458,neutral
459,joy
460,joy
461,non-neutral
462,neutral
463,neutral
464,joy
465,neutral
466,neutral
467,neutral
468,neutral
469,neutral
470,neutral
471,neutral
472,surprise
473,non-neutral
474,neutral
475,neutral
476,non-neutral
477,joy
478,anger
479,neutral
480,non-neutral
481,surprise
482,neutral
483,neutral
484,joy
485,neutral
486,neutral
487,neutral
488,joy
489,neutral
490,neutral
491,neutral
492,neutral
493,anger
494,neutral
495,non-neutral
496,non-neutral
497,non-neutral
498,joy
499,neutral
500,neutral
501,neutral
502,joy
503,neutral
504,neutral
505,surprise
506,neutral
507,neutral
508,neutral
509,neutral
510,neutral
511,neutral
512,neutral
513,neutral
514,sadness
515,surprise
516,neutral
517,neutral
518,surprise
519,neutral
520,neutral
521,neutral
522,neutral
523,neutral
524,neutral
525,neutral
526,anger
527,neutral
528,neutral
529,neutral
530,neutral
531,neutral
532,neutral
533,neutral
534,surprise
535,joy
536,neutral
537,neutral
538,non-neutral
539,neutral
540,surprise
541,non-neutral
542,neutral
543,neutral
544,neutral
545,neutral
546,neutral
547,neutral
548,neutral
549,joy
550,neutral
551,neutral
552,non-neutral
553,joy
554,joy
555,sadness
556,non-neutral
557,neutral
558,non-neutral
559,neutral
560,sadness
561,neutral
562,surprise
563,non-neutral
564,joy
565,non-neutral
566,joy
567,surprise
568,neutral
569,joy
570,neutral
571,neutral
572,neutral
573,surprise
574,surprise
575,neutral
576,surprise
577,neutral
578,surprise
579,surprise
580,neutral
581,neutral
582,surprise
583,surprise
584,neutral
585,neutral
586,surprise
587,neutral
588,neutral
589,neutral
590,surprise
591,surprise
592,non-neutral
593,surprise
594,non-neutral
595,neutral
596,surprise
597,non-neutral
598,anger
599,anger
600,neutral
601,neutral
602,neutral
603,surprise
604,neutral
605,surprise
606,sadness
